year,to_country_id,to_country,performer,song,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url
2013,dk,Denmark,Emmelie de Forest,Only Teardrops,1.0,18,5,1,281.0,1,167.0,,,,,Julia Fabrin Jakobsen;Lise Cabble;Thomas Stengaard,Julia Fabrin Jakobsen;Lise Cabble;Thomas Stengaard,"The sky is red tonight\nWe're on the edge tonight\nNo shooting star to guide us\n\nEye for an eye, why tear each other apart?\nPlease tell me why, why do we make it so hard?\nLook at us now, we only got ourselves to blame\nIt's such a shame\n\nHow many times can we win and lose?\nHow many times can we break the rules?\nBetween us – only teardrops\n\nHow many times do we have to fight?\nHow many times till we get it right?\nBetween us – only teardrops\n\nSo come and face me now\nHere on the stage tonight\nLet's leave the past behind us\n\nEye for an eye, why tear each other apart?\nPlease tell me why, why do we make it so hard?\nLook at us now, we only got ourselves to blame\nIt's such a shame\n\nTell me\nHow many times can we win and lose?\nHow many times can we break the rules?\nBetween us – only teardrops\n\nHow many times do we have to fight?\nHow many times till we get it right between us?\nOnly teardrops\n\n(Tell me now) What's gone between us has come between us\nOnly teardrops\n(Tell me now) What's gone between us has come between us\n\nHow many times can we win and lose?\nHow many times can we break the rules?\nBetween us – only teardrops\n\nHow many times do we have to fight?\nHow many times till we get it right?\nBetween us – only teardrops, only teardrops\nOh… only teardrops, only teardrops\n\nHow many times can we win and lose?\nHow many times can we break the rules?\nBetween us – only teardrops\n\nHow many times do we have to fight?\nHow many times till we get it right?\nBetween us – only teardrops",https://youtube.com/watch?v=QxVWcDevKLg
2013,az,Azerbaijan,Farid Mammadov,Hold Me,2.0,20,4,2,234.0,1,139.0,,,,,Dimitris Kontopoulos,John Ballard;Ralph Charlie Al Fahel,"Should have seen it coming when I saw you\nShould have had the sense to stop and walk away\nIt was gonna turn out complicated\nWe've hit overload, about to explode\n\nIf love was a mountain\nI'd climb up to the highest of them all\nI'd swim across the ocean if you'd call\nI'm lost in your smile\nFreefalling for miles\n\nHold me, just unfold me\nUnchain my soul, give me love, make me whole\nHold me, if it's only for this moment in time\nNow I'm yours and you're mine\nSo hold me\n\nTake a little time then you'll know better\nThen to think about giving in on the one you love\nCan we go back and freeze the moment?\nWhere we used to be free, was only you and me\n\nHold me, just unfold me\nUnchain my soul, give me love, make me whole\nHold me, if it's only for this moment in time\nNow I'm yours and you're mine\n\nRemember how we used to laugh\nBut now you're running from the past\nLet's find a way to carry on\nRemember how love used to be\nYou said I was your fantasy\nCan't take another night alone\nSo come on home\n\nHold me, just unfold me\nUnchain my soul, give me love, make me whole\nHold me, if it's only for this moment in time\nNow I'm yours and you're mine\nSo hold me",https://youtube.com/watch?v=S7C3S2zuVp8
2013,ua,Ukraine,Zlata Ognevich,Gravity,1.0,22,7,3,214.0,3,140.0,,,,,Mikhail Nekrasov,Karen Kavaleryan,"Nothing comes from dreams but dreams\nStill you believe in wonder\nSomething happens and it seems\nLike a strike of thunder\n\nNothing comes from love but love\nWhy is it growing stronger?\nI am falling from above\nI will wait no longer\n\nI'm like a butterfly\nSpinning round a sword as if to dare\nI should have stayed up high\n(It's stronger than me) My gravity, my gravity\n\nHey… sha…\nAh yeah… lele…\nSee… lele…\n\nNothing comes from pride but pride\nMmh… my way is clear\nDancing on the edge tonight\nNow I feel no fear\n\nI'm like a butterfly\nSpinning round a sword as if to dare\nI should have stayed up high\n(It's stronger than me) My gravity, my gravity\n\nI'm like a butterfly (My gravity)\nI'm like a butterfly\nAnd I should have stayed up high\n(It's stronger than me) My gravity, my gravity\n\nGravity",https://youtube.com/watch?v=xgLCBm8Txsc
2013,no,Norway,Margaret Berger,I Feed You My Love,2.0,24,13,4,191.0,3,120.0,,,,,Karin Park;Niklas Olovson;Robin Lynch,Karin Park;Niklas Olovson;Robin Lynch,"A cocoon in a silent tree\nThrough the dark night you listen to me\nWhen I whisper broken words in your ear\n\nAnd you push, you push me hard to the surface\nI'm blinded at heart, but you wake me\nYou wake me up from the snow where I was born\n\nNow I can see\nThe whole world is mine\nI can touch and feel\nI feed you my love\n\nYou put a knife against my back\nAnd you dare me to face the attack\nYou say for cowards, there's no reward\nFeel the heat\n\nOh... take my hand, I trust your word\nBring the fire, I don't care if it hurts\nI have the future on my tongue\nGive me a kiss\n\nNow I can see\nThe whole world is mine\nI can touch and feel\nSo I feed you my love\n\nYou put a knife against my back\nAnd you dare me to face the attack\nYou say for cowards, there's no reward\nI have the future on my tongue\n\nNow I can see, whoh...\nThe whole world is mine\nI can touch and feel, mmh yeah...\nSo I feed you my love\nFeed you my love\nSo I feed you my love",https://youtube.com/watch?v=gjm-kCOMaPY
2013,ru,Russia,Dina Garipova,What If,1.0,10,6,5,174.0,2,156.0,,,,,Gabriel Alares;Joakim Björnberg;Leonid Gutkin,Gabriel Alares;Joakim Björnberg;Leonid Gutkin,"What if I could change the path of time?\nWhat if I had a power to decide?\nWhat if I could make us unify?\nIf I, if I...\n\nWhat if we would open up the doors?\nWhat if we could help each other more?\nWhat if I could make you all believe?\nIf we, if we...\n\nWhat if we all opened our arms?\nWhat if we came together as one?\nWhat if we aimed to stop the alarms?\nWhat if we chose to bury our guns?\n\nWhy don't we always reach out to those\nWho need us the most?\n\nTogether we can change the path of time\nTogether we have power to decide\nThe answer lies within our hearts and minds\nTogether, together\n\nTogether we can make a better place\nOn this little island out in space\nTogether we can change the world forever\n\nWhat if we all opened our arms?\nWhat if we came together as one?\nWhat if we aimed to stop the alarms?\nWhat if we chose to bury our guns?\n\nLet's unite and make a change\nLet's unite and write a new page\nCome on sinners, come on saints\nHave faith\n\nWhy don't we always reach out to those...\n\nWhat if we all opened our arms?\nWhat if we came together as one?\nWhat if we aimed to stop the alarms?\nWhat if we chose to bury our guns?\n\nWhat if we all opened our arms?\nWhat if we came together as one?\nWhat if we aimed to stop the alarms?\nWhat if we chose to bury our guns?\n\nWhy don't we always reach out to those\nWho need us the most?",https://youtube.com/watch?v=wHNwk3Oez8U
2013,gr,Greece,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2.0,21,9,6,152.0,2,121.0,,,,,Ilias Kozas,Stathis Pachidis,"Mas vrik' i trikimia\nMesa stin Egnatia\nBoforya mas travane st' anihta\nSa lathos na 'n' i rota\nPyos pezi me ta fota?\nKi i plori mas travai ya Grevena\n\nSe mya thalassa whiskey\nNavayi ke pyos mas vriski\nKe zalizete, treklizi ol' i yi\nMe kefali surotiri\nKe t' amaxi trehadiri\nPyos tu evale pidhalyo ke pani?\n\nAlcohol, alcohol, alcohol is free\nAlcohol, alcohol, alcohol is free\nAlcohol, alcohol, alcohol is free\nAlcohol is free\nAlcohol is free\n\nKima ke lisomanai\nKi i gorgona na rotai\nMa o Alekos ta 'hi pyi kali kira\nMesopelaga fanari\nVre mas pirane habari\nPyos piye to spitaki mu makrya, (makrya!) makria?\n\nMas vrik' i trikimia\nMesa stin Egnatia\nBoforya mas travane st' anihta\nSa lathos na 'n' i rota\nPyos pezi me ta fota?\nKi i plori mas travai ya Grevena\n\nMas vrik' i trikimia\nMesa stin Egnatia\nBoforya mas travane st' anihta\nSa lathos na 'n' i rota\nPyos pezi me ta fota?\nKi i plori mas travai ya Grevena\n\nDhe mas 'ftegan ta whiskakya\nBoba itan ta pagakya\nKe to skafos ehi rodhes telika\nAlkotest ke trohonomos\nDhen ine ya mas o tromos\nKatifora mes sti thalass' arhina\n\nAlcohol, alcohol, alcohol is free\nAlcohol, alcohol, alcohol is free\nAlcohol, alcohol, alcohol is free\nAlcohol is free\nAlcohol is free\n\nAlcohol, alcohol, alcohol is free\nAlcohol, alcohol, alcohol is free\nAlcohol, alcohol, alcohol is free\nAlcohol is free\nAlcohol is free",https://youtube.com/watch?v=LFs9AdNV4Qw
2013,it,Italy,Marco Mengoni,L'Essenziale,,23,,7,126.0,,,,,,,Francesco De Benedittis;Marco Mengoni;Roberto Casalino,Roberto Casalino,"Sostengono gli eroi se il gioco si fa duro, è da giocare\nBeati loro poi se scambiano le offese con il bene\nSuccede anche a noi, di far la guerra e ambire poi alla pace\nE nel silenzio mio, annullo ogni tuo singolo dolore\nPer apprezzare quello che non ho saputo scegliere\n\nMentre il mondo cade a pezzi\nIo compongo nuovi spazi e desideri che\nAppartengono anche a te\nChe da sempre sei per me, l'essenziale\n\nNon accetteró un altro errore di valutazione\nL'amore è in grado di celarsi dietro amabili parole\nChe ho pronunciato prima che\nFossero vuote e stupide\n\nMentre il mondo cade a pezzi\nIo compongo nuovi spazi e desideri che\nAppartengono anche a te\n\nMentre il mondo cade a pezzi\nMi allontano dagli eccessi e dalle cattive abitudini\nTornerò all'origine\nTorno a te che sei per me, l'essenziale\n\nL'amore non segue le logiche\nTi toglie il respiro e la sete\n\nMentre il mondo cade a pezzi\nIo compongo nuovi spazi e desideri che\nAppartengono anche a te\n\nMentre il mondo cade a pezzi\nMi allontano dagli eccessi e dalle cattive abitudini\nTornerò all'origine\nTorno a te che sei per me, l'essenziale",https://youtube.com/watch?v=S8oaxDV1q6o
2013,mt,Malta,Gianluca,Tomorrow,2.0,9,6,8,120.0,4,118.0,,,,,Boris Cezek;Dean Muscat,Boris Cezek;Dean Muscat,"Whoah... oh...\nWhoah... oh...\n\nHis name is Jeremy, working in IT\nNever questions why he has always been\nAn extra careful guy, sensitive and shy\nRisk assessment is his investment in a life of no surprise\nTill she walked into his life\n\nShe, spontaneous indeed, uncertainty's her creed\nShe has always been neither black or white\nJust a curious delight\nShe threw affection in his direction, a collection of her smiles\nAnd to his surprise, whoah...\n\nShe's like tomorrow, oh so distant\nShe just wants to play\nLike tomorrow, she is always one day away\nAll the time she slips away, it's close but yet so far\nIt's time to follow her tomorrow, whoah... oh...\nTime to follow her tomorrow, whoah... oh...\n\nHe fell for her too fast, we all thought it wouldn't last\n'Cause good ol' Jeremy likes his rigorous routine\n'Cause he only thinks today but tomorrow is her way\nSo find a new direction and you will be okay\n\nShe's like tomorrow, so distant, she just wants to play\nLike tomorrow, she is always one day away\nAll the time she slips away, it's close but yet so far\nIt's time to follow her tomorrow, oh... oh...\n\nTime to follow her tomorrow, oh... oh...\nTime to follow her tomorrow, oh... oh...\nTime to follow her tomorrow, oh... oh...\n\nShe's like tomorrow, oh so distant, she just wants to play\nLike tomorrow, she is always one day away\nOne day away (One day away)\nOne day away (One day away)\n\nAnd all the time she slips away, it's close but yet so far\nIt's time to follow her tomorrow (Oh... oh...)\nIt's time to follow her tomorrow (Oh... oh...)\nIt's time to follow her tomorrow",https://youtube.com/watch?v=VK4TvZeL6c0
2013,nl,Netherlands,Anouk,Birds,1.0,13,8,9,114.0,6,75.0,,,,,Anouk;Martin Gjerstad;Tore Johanson,Anouk,"Isolated from the outside\nClouds have taken all the light\nI have no control, it seems my\nThoughts wander all\nOf the time, when I try to\nLive life without you\n\nBirds falling down the rooftops\nOut of the sky like raindrops\nNo air, no pride\n\nIf being myself is what I do wrong\nThen I would rather not be right\nHopes turned into fear and with my\nOne wing I can't fly\nWith sunrise, embrace my\nDreams tight and that's why\n\nBirds falling down the rooftops\nOut of the sky like raindrops\nNo air, no pride\nBirds\n\nTo a place without fear, with no moonlight\n(To a place without moonlight and fear)\nAll I need are trees and flowers and some sunlight\n(All I need is trees, some flowers and sunlight)\nWhere memories are being made and where the old one dies\nWhere love ain't lost\n\nBirds falling down the rooftops\nOut of the sky like raindrops\n\nBirds falling down the rooftops\nOut of the sky like raindrops\nNo air, no pride\nThat's why birds don't fly",https://youtube.com/watch?v=n5iazXvMw5o
2013,hu,Hungary,ByeAlex,Kedvesem,2.0,17,12,10,84.0,8,66.0,,,,,ByeAlex;Zoohacker,ByeAlex,"Az én kedvesem egy olyan lány, akit\nFarkasok neveltek és\nTáncolt egy délibábbal\nMajd elillant csendesen\nAz én kedvesem\nŐ az én kedvesem\n\nAz én kedvesem egy olyan lány, akit\nÁtölel hét kontinens\nCsobban szép tengerekben\nS táncot lejt fent felhők közt\nA kedvesem\nŐ az én kedvesem\n\nMert nekem:\nNincs most más, csak a kedvesem, az én kedvesem\nÕ bárhol jár, az úgy jó nekem, az úgy jó nekem, mert\nMindig rám talál, az én kedvesem, az én kedvesem\nÚgy dúdolná: ez így jó nekem, ez így jó nekem, ez a dal\n\nAz én kedvesem egy olyan lány, akit\nHóbortos álmok tépnek\nKócos haját reggelente\nSzelek fonják\nEttől más a kedvesem\nŐ az én kedvesem\n\nAz én kedvesem a végtelennel\nÚjat húz és sosem retteg\nRozmaringból készít hintót\nTücskök húzzák, így nyugtat meg csendesen\nŐ az én kedvesem\n\nMert nekem:\nNincs most más, csak a kedvesem, az én kedvesem\nÕ bárhol jár, az úgy jó nekem, az úgy jó nekem, mert\nMindig rám talál, az én kedvesem, az én kedvesem\nÚgy dúdolná: ez így jó nekem, ez így jó nekem, ez a dal\n\nNincs most más, csak a kedvesem, az én kedvesem\nÕ bárhol jár, az úgy jó nekem, az úgy jó nekem, mert\nMindig rám talál, az én kedvesem, az én kedvesem\nÚgy dúdolná: ez így jó nekem, ez így jó nekem, ez a dal",https://youtube.com/watch?v=rOimfHq76xk
2013,md,Moldova,Aliona Moon,O Mie,1.0,3,12,11,71.0,4,95.0,,,,,Pasha Parfeny,Yuliana Scutaru,"O mie de-apusuri pierdute în mare, pierdute în noi\nPe gene o mie de raze de soare aduceau dimineți pentru doi\nO mie de stele arzînd căzătoare priviri ne-au furat\nÎn ceruri o mie de nopți seculare s-au tot spulberat, noi am rezistat\n\nÎntre soare și ploi se nasc mii de culori, dar noi vedem doar nori\nAmintiri despre noi inșirat-am pe foi, apoi le-am distrus amîndoi\nÎntre soare și ploi se nasc mii de culori, dar noi vedem doar nori\nAmintiri despre noi inșirat-am pe foi, apoi le-am distrus amîndoi\n\nO mie de lacrimi nu-mi spală durerea de cînd te-am pierdut\nDe-o mie de nopți mă înghite tăcerea, ea vrea să te uit\nÎmi cere prea mult \n\nNu cred că este-n trecut fiorul ce l-am avut\nVreau un nou început\n\nÎntre soare și ploi se nasc mii de culori, dar noi vedem doar nori\nAmintiri despre noi inșirat-am pe foi, apoi le-am distrus amîndoi\nÎntre soare și ploi se nasc mii de culori, dar noi vedem doar nori\nAmintiri despre noi inșirat-am pe foi, apoi le-am distrus amîndoi\n\nCredeam în dragostea ta, speram că nu va seca\nCredeam în visele mari, dar ai ales să dispari\nCredeam că nu e-n trecut, fiorul ce l-am avut\nVreau un nou început\n\nÎntre soare și ploi… vedem doar nori\nAmintiri despre noi inșirat-am pe foi, apoi le-am distrus amîndoi\nÎntre soare și ploi se nasc mii de culori, dar noi vedem doar nori\nAmintiri despre noi inșirat-am pe foi, apoi le-am distrus amîndoi",https://youtube.com/watch?v=xckgLUv73Jc
2013,be,Belgium,Roberto Bellarosa,Love Kills,1.0,6,15,12,71.0,5,75.0,,,,,Andreas Anastasiou;Iain Farquharson;Jukka Immonen,Andreas Anastasiou;Iain Farquharson;Jukka Immonen,"So the arrow shot right through her heart and rocked her to the core\nAnd she fell so deep like she had never fell so deep before\nBut the pain was almost unbelievable\nWhen the end was near, she felt the fear alive, alive, alive\n\nWaiting for the bitter pill, give me something I can feel\n'Cause love kills over and over, love kills over and over\nWaiting for the bitter pill, something I can truly feel\n'Cause love kills over and over, love kills over and over again\n\n'Cause he didn't fight for life when he was up against the wall\nAnd he felt so scared for both of them, even though they had it all\nThere's a lesson that you always have to learn\nThrough the consequence of fire comes the burn\n\nWaiting for the bitter pill, give me something I can feel\n'Cause love kills over and over, love kills over and over\nWaiting for the bitter pill, something I can truly feel\n'Cause love kills over and over, love kills over and over again\n\nOne last, one last, one last breath for life\nWon't you give me, give me hope tonight?\n\nI've been waiting for the bitter pill, give me something I can feel\n'Cause love kills over and over, love kills over and over\nWaiting for the bitter pill, something I can truly feel\n'Cause love kills over and over, love kills over and over again",https://youtube.com/watch?v=dCl7OUFNSCA
2013,ro,Romania,Cezar,It's My Life,2.0,14,17,13,65.0,5,83.0,,,,,Christian Faur,Christian Faur,"Love is so bright\nLike a diamond in the light\nLove is so, so true\nI can paint my world in blue\n\nLove is so deep\nAnd it makes my life complete\nLike a mountain in the sky\nLove is high, so high\n\nIt's my life and I know it's not forever\nIt's my life and I'll share it all with you\nIt's my life, we were meant to be together\nI'll give my life to you\n\nLove is so strong\nIn the heart where you belong\nIt's a dream, a desire\nAnd is burning like a fire\n\nLove is so deep\nAnd it makes my life complete\nLike a mountain in the sky\nLove is high, so high\n\nIt's my life, it's my life, it's my life\nI'll find my story and fight for my glory of love, love...\n\nIt's my life and I know it's not forever\nIt's my life and I'll share it all with you\nIt's my life, we were meant to be together\nI'll give my life to you\n\nIt's my life and I know it's not forever\nIt's my life and I'll share it all with you\nIt's my life, we were meant to be together\nI'll give my life to you\nLyrics in English (if not the performed language) It's my life\nmusic & lyrics: Cristian Faur\n\nLove is so bright\nLike a diamond in the light\nLove is so true\nI can paint my world in blue\n\nLove is so deep\nAnd it makes my life complete\nLike a mountain in the sky\nLove is high, so high\n\nIt's my life and I know it's not forever\nIt's my life and I'll share it all with you\nIt's my life, we were meant to be together\nI'll give my life to you\n\nLove is so strong\nIn the heart where you belong\nIt's a dream, a desire\nAnd is burning like a fire\n\nLove is so deep\nAnd it makes my life complete\nLike a mountain in the sky\nLove is high, so high\n\nIt's my life and I know it's not forever\nIt's my life and I'll share it all with you\nIt's my life, we were meant to be together\nI'll give my life to you\n\nI'll find my story and fight for my glory of love …\n\nIt's my life and I know it's not forever\nIt's my life and I'll share it all with you\nIt's my life, we were meant to be together\nI'll give my life to you",https://youtube.com/watch?v=VgHWFiavqjA
