year;to_country_id;to_country;performer;song;running_final;place_final;points_final
2016;ua;Ukraine;Jamala;1944;21.0;1.0;534.0
2016;au;Australia;Dami Im;Sound of Silence;13.0;2.0;511.0
2016;ru;Russia;Sergey Lazarev;You Are the Only One;18.0;3.0;491.0
2016;bg;Bulgaria;Poli Genova;If Love Was a Crime;8.0;4.0;307.0
2016;se;Sweden;Frans;If I Were Sorry;9.0;5.0;261.0
2016;fr;France;Amir;J'ai Cherch�;11.0;6.0;257.0
2016;am;Armenia;Iveta Mukuchyan;LoveWave;26.0;7.0;249.0
2016;pl;Poland;Micha? Szpak;Color of Your Life;12.0;8.0;229.0
2016;lt;Lithuania;Donny Montell;I've Been Waiting for This Night;16.0;9.0;200.0
2016;be;Belgium;Laura Tesoro;What's the Pressure;1.0;10.0;181.0
2016;nl;Netherlands;Douwe Bob;Slow Down;3.0;11.0;153.0
2016;mt;Malta;Ira Losco;Walk on Water;22.0;12.0;153.0
2016;at;Austria;Zo�;Loin d'ici;24.0;13.0;151.0
2016;il;Israel;Hovi Star;Made of Stars;7.0;14.0;135.0
2016;lv;Latvia;Justs;Heartbeat;20.0;15.0;132.0
2016;it;Italy;Francesca Michielin;No Degree of Separation;6.0;16.0;124.0
2016;az;Azerbaijan;Samra;Miracle;4.0;17.0;117.0
2016;rs;Serbia;Sanja Vu?i? ZAA;Goodbye (Shelter);15.0;18.0;115.0
2016;hu;Hungary;Freddie;Pioneer;5.0;19.0;108.0
2016;ge;Georgia;Nika Kocharov & Young Georgian Lolitaz;Midnight Gold;23.0;20.0;104.0
2016;cy;Cyprus;Minus One;Alter Ego;14.0;21.0;96.0
2016;es;Spain;Barei;Say Yay!;19.0;22.0;77.0
2016;hr;Croatia;Nina Kralji?;Lighthouse;17.0;23.0;73.0
2016;gb;United KingdomUK;Joe & Jake;You're Not Alone;25.0;24.0;62.0
2016;cz;Czech RepublicCzechia;Gabriela Gun?�kov�;I Stand;2.0;25.0;41.0
2016;de;Germany;Jamie-Lee Kriewitz;Ghost;10.0;26.0;11.0
2017;pt;Portugal;Salvador Sobral;Amar Pelos Dois;11.0;1.0;758.0
2017;bg;Bulgaria;Kristian Kostov;Beautiful Mess;25.0;2.0;615.0
2017;md;Moldova;Sunstroke Project;Hey Mamma;7.0;3.0;374.0
2017;be;Belgium;Blanche;City Lights;23.0;4.0;363.0
2017;se;Sweden;Robin Bengtsson;I Can't Go On;24.0;5.0;344.0
2017;it;Italy;Francesco Gabbani;Occidentali's Karma;9.0;6.0;334.0
2017;ro;Romania;Ilinca feat. Alex Florea;Yodel It!;20.0;7.0;282.0
2017;hu;Hungary;Joci P�pai;Origo;8.0;8.0;200.0
2017;au;Australia;Isaiah;Don't Come Easy;14.0;9.0;173.0
2017;no;Norway;Jowst;Grab the Moment;17.0;10.0;158.0
2017;nl;Netherlands;OG3NE;Lights And Shadows;6.0;11.0;150.0
2017;fr;France;Alma;Requiem;26.0;12.0;135.0
2017;hr;Croatia;Jacques Houdek;My Friend;13.0;13.0;128.0
2017;az;Azerbaijan;Dihaj;Skeletons;12.0;14.0;120.0
2017;gb;United KingdomUK;Lucie Jones;Never Give Up on You;18.0;15.0;111.0
2017;at;Austria;Nathan Trent;Running On Air;4.0;16.0;93.0
2017;by;Belarus;Naviband;Historyja majho �yccia;3.0;17.0;83.0
2017;am;Armenia;Artsvik;Fly With Me;5.0;18.0;79.0
2017;gr;Greece;Demy;This is Love;15.0;19.0;77.0
2017;dk;Denmark;Anja;Where I Am;10.0;20.0;77.0
2017;cy;Cyprus;Hovig;Gravity;19.0;21.0;68.0
2017;pl;Poland;Kasia Mo?;Flashlight;2.0;22.0;64.0
2017;il;Israel;Imri Ziv;I Feel Alive;1.0;23.0;39.0
2017;ua;Ukraine;O.Torvald;Time;22.0;24.0;36.0
2017;de;Germany;Levina;Perfect Life;21.0;25.0;6.0
2017;es;Spain;Manel Navarro;Do It for Your Lover;16.0;26.0;5.0
2018;il;Israel;Netta;Toy;22.0;1.0;529.0
2018;cy;Cyprus;Eleni Foureira;Fuego;25.0;2.0;436.0
2018;at;Austria;Ces�r Sampson;Nobody But You;5.0;3.0;342.0
2018;de;Germany;Michael Schulte;You Let Me Walk Alone;11.0;4.0;340.0
