year;from_country_id;to_country_id;from_country;to_country;total_points
2016;al;ua;al;ua;6
2016;al;au;al;au;24
2016;al;ru;al;ru;14
2016;al;bg;al;bg;12
2016;al;se;al;se;3
2016;al;fr;al;fr;10
2016;al;am;al;am;2
2016;al;pl;al;pl;5
2016;al;lt;al;lt;4
2016;al;be;al;be;0
2016;al;nl;al;nl;0
2016;al;mt;al;mt;2
2016;al;at;al;at;0
2016;al;il;al;il;3
2016;al;lv;al;lv;0
2016;al;it;al;it;18
2016;al;az;al;az;0
2016;al;rs;al;rs;0
2016;al;hu;al;hu;2
2016;al;ge;al;ge;0
2016;al;cy;al;cy;0
2016;al;es;al;es;6
2016;al;hr;al;hr;0
2016;al;gb;al;gb;5
2016;al;cz;al;cz;0
2016;al;de;al;de;0
2016;am;ua;am;ua;10
2016;am;au;am;au;5
2016;am;ru;am;ru;14
2016;am;bg;am;bg;7
2016;am;se;am;se;2
2016;am;fr;am;fr;19
2016;am;am;am;am;0
2016;am;pl;am;pl;1
2016;am;lt;am;lt;0
2016;am;be;am;be;4
2016;am;nl;am;nl;0
2016;am;mt;am;mt;13
2016;am;at;am;at;4
2016;am;il;am;il;0
2016;am;lv;am;lv;0
2016;am;it;am;it;0
2016;am;az;am;az;0
2016;am;rs;am;rs;0
2016;am;hu;am;hu;3
2016;am;ge;am;ge;18
2016;am;cy;am;cy;12
2016;am;es;am;es;3
2016;am;hr;am;hr;0
2016;am;gb;am;gb;0
2016;am;cz;am;cz;1
2016;am;de;am;de;0
2016;au;ua;au;ua;10
2016;au;au;au;au;0
2016;au;ru;au;ru;5
2016;au;bg;au;bg;18
2016;au;se;au;se;0
2016;au;fr;au;fr;13
2016;au;am;au;am;0
2016;au;pl;au;pl;0
2016;au;lt;au;lt;8
2016;au;be;au;be;24
2016;au;nl;au;nl;3
2016;au;mt;au;mt;6
2016;au;at;au;at;3
2016;au;il;au;il;10
2016;au;lv;au;lv;0
2016;au;it;au;it;0
2016;au;az;au;az;0
2016;au;rs;au;rs;0
2016;au;hu;au;hu;0
2016;au;ge;au;ge;0
2016;au;cy;au;cy;0
2016;au;es;au;es;7
2016;au;hr;au;hr;1
2016;au;gb;au;gb;8
2016;au;cz;au;cz;0
2016;au;de;au;de;0
2016;at;ua;at;ua;10
2016;at;au;at;au;15
2016;at;ru;at;ru;11
2016;at;bg;at;bg;5
2016;at;se;at;se;15
2016;at;fr;at;fr;8
2016;at;am;at;am;2
2016;at;pl;at;pl;12
2016;at;lt;at;lt;1
2016;at;be;at;be;5
2016;at;nl;at;nl;6
2016;at;mt;at;mt;10
2016;at;at;at;at;0
2016;at;il;at;il;0
2016;at;lv;at;lv;0
2016;at;it;at;it;0
2016;at;az;at;az;0
2016;at;rs;at;rs;4
2016;at;hu;at;hu;0
2016;at;ge;at;ge;0
2016;at;cy;at;cy;0
2016;at;es;at;es;0
2016;at;hr;at;hr;6
2016;at;gb;at;gb;0
2016;at;cz;at;cz;4
2016;at;de;at;de;2
2016;az;ua;az;ua;20
2016;az;au;az;au;9
2016;az;ru;az;ru;24
2016;az;bg;az;bg;16
2016;az;se;az;se;0
2016;az;fr;az;fr;4
2016;az;am;az;am;0
2016;az;pl;az;pl;5
2016;az;lt;az;lt;5
2016;az;be;az;be;0
2016;az;nl;az;nl;0
2016;az;mt;az;mt;11
2016;az;at;az;at;0
2016;az;il;az;il;9
2016;az;lv;az;lv;0
2016;az;it;az;it;0
2016;az;az;az;az;0
2016;az;rs;az;rs;0
2016;az;hu;az;hu;11
2016;az;ge;az;ge;1
2016;az;cy;az;cy;0
2016;az;es;az;es;1
2016;az;hr;az;hr;0
2016;az;gb;az;gb;0
2016;az;cz;az;cz;0
2016;az;de;az;de;0
2016;by;ua;by;ua;17
2016;by;au;by;au;7
2016;by;ru;by;ru;24
2016;by;bg;by;bg;5
2016;by;se;by;se;10
2016;by;fr;by;fr;0
2016;by;am;by;am;10
2016;by;pl;by;pl;6
2016;by;lt;by;lt;10
2016;by;be;by;be;4
2016;by;nl;by;nl;0
2016;by;mt;by;mt;5
2016;by;at;by;at;0
2016;by;il;by;il;0
2016;by;lv;by;lv;5
2016;by;it;by;it;0
2016;by;az;by;az;10
2016;by;rs;by;rs;0
2016;by;hu;by;hu;3
2016;by;ge;by;ge;0
2016;by;cy;by;cy;0
2016;by;es;by;es;0
2016;by;hr;by;hr;0
2016;by;gb;by;gb;0
2016;by;cz;by;cz;0
2016;by;de;by;de;0
2016;be;ua;be;ua;5
2016;be;au;be;au;16
2016;be;ru;be;ru;6
2016;be;bg;be;bg;11
2016;be;se;be;se;1
2016;be;fr;be;fr;16
2016;be;am;be;am;7
2016;be;pl;be;pl;12
2016;be;lt;be;lt;0
2016;be;be;be;be;0
2016;be;nl;be;nl;14
2016;be;mt;be;mt;0
2016;be;at;be;at;8
2016;be;il;be;il;2
2016;be;lv;be;lv;0
2016;be;it;be;it;10
2016;be;az;be;az;0
2016;be;rs;be;rs;0
2016;be;hu;be;hu;0
2016;be;ge;be;ge;7
2016;be;cy;be;cy;0
2016;be;es;be;es;0
2016;be;hr;be;hr;0
2016;be;gb;be;gb;0
2016;be;cz;be;cz;1
2016;be;de;be;de;0
2016;ba;ua;ba;ua;19
2016;ba;au;ba;au;13
2016;ba;ru;ba;ru;11
2016;ba;bg;ba;bg;5
2016;ba;se;ba;se;0
2016;ba;fr;ba;fr;11
2016;ba;am;ba;am;2
2016;ba;pl;ba;pl;0
2016;ba;lt;ba;lt;0
2016;ba;be;ba;be;0
2016;ba;nl;ba;nl;0
2016;ba;mt;ba;mt;0
2016;ba;at;ba;at;5
2016;ba;il;ba;il;0
2016;ba;lv;ba;lv;0
2016;ba;it;ba;it;0
2016;ba;az;ba;az;9
2016;ba;rs;ba;rs;20
2016;ba;hu;ba;hu;1
2016;ba;ge;ba;ge;0
2016;ba;cy;ba;cy;0
2016;ba;es;ba;es;0
2016;ba;hr;ba;hr;14
2016;ba;gb;ba;gb;0
2016;ba;cz;ba;cz;6
2016;ba;de;ba;de;0
2016;bg;ua;bg;ua;10
2016;bg;au;bg;au;13
2016;bg;ru;bg;ru;18
2016;bg;bg;bg;bg;0
2016;bg;se;bg;se;3
2016;bg;fr;bg;fr;0
2016;bg;am;bg;am;20
2016;bg;pl;bg;pl;6
2016;bg;lt;bg;lt;1
2016;bg;be;bg;be;10
2016;bg;nl;bg;nl;2
2016;bg;mt;bg;mt;7
2016;bg;at;bg;at;4
2016;bg;il;bg;il;2
2016;bg;lv;bg;lv;0
2016;bg;it;bg;it;0
2016;bg;az;bg;az;1
2016;bg;rs;bg;rs;5
2016;bg;hu;bg;hu;0
2016;bg;ge;bg;ge;3
2016;bg;cy;bg;cy;7
2016;bg;es;bg;es;4
2016;bg;hr;bg;hr;0
2016;bg;gb;bg;gb;0
2016;bg;cz;bg;cz;0
2016;bg;de;bg;de;0
2016;hr;ua;hr;ua;10
2016;hr;au;hr;au;17
2016;hr;ru;hr;ru;14
2016;hr;bg;hr;bg;1
2016;hr;se;hr;se;7
2016;hr;fr;hr;fr;10
2016;hr;am;hr;am;4
2016;hr;pl;hr;pl;4
